field,hives,geo
AR18N,272,"POLYGON ((-118.8064742 35.2311253, -118.7973332 35.2311253, -118.797403 35.2374962, -118.797875 35.2375138, -118.7978804 35.2383112, -118.8064957 35.2382586, -118.806603 35.2381184, -118.8064742 35.2311253))"
AR18NE,260,"POLYGON ((-118.7969363 35.2375488, -118.7973922 35.2375138, -118.7973011 35.2343327, -118.7972635 35.2311516, -118.788498 35.2311867, -118.7885731 35.2383419, -118.7969363 35.238298, -118.7969363 35.2375488))"
AR18SE,132,"POLYGON ((-118.7972357 35.2274094, -118.7972142 35.2239388, -118.7884176 35.2239563, -118.7884927 35.2274883, -118.7972357 35.2274094))"
AR19NE,136,"POLYGON ((-118.7961423 35.2237613, -118.7961343 35.2231434, -118.7964473 35.2230361, -118.7971777 35.2230317, -118.7971446 35.2202401, -118.7882137 35.2202445, -118.7882934 35.2235181, -118.7885187 35.2237723, -118.7961423 35.2237613))"
AR18SW,64,"POLYGON ((-118.7976316 35.2311253, -118.8064722 35.2310903, -118.8063884 35.2242894, -118.8057446 35.2242718, -118.8057446 35.2239476, -118.8056266 35.2239651, -118.8055408 35.2239476, -118.8052833 35.2239826, -118.8052189 35.2238862, -118.8046396 35.2238862, -118.8035238 35.2238774, -118.8035238 35.2239563, -118.8036096 35.2239739, -118.8035882 35.2240878, -118.8033307 35.2241141, -118.8033307 35.223895, -118.7973527 35.2239213, -118.7973312 35.2273043, -118.7975673 35.2273919, -118.7975673 35.2276899, -118.7973527 35.2277074, -118.7973741 35.2307748, -118.7975887 35.2308975, -118.7976316 35.2311253))"
BR7,484,"POLYGON ((-119.6505761 35.6017124, -119.65446 35.6016251, -119.65446 35.5870731, -119.6424437 35.587108, -119.6424866 35.5903537, -119.6433878 35.5907724, -119.6436024 35.5923778, -119.6440744 35.5928314, -119.6455765 35.5940179, -119.6456194 35.5943669, -119.6455979 35.5946286, -119.6481514 35.5946112, -119.6505976 35.5945937, -119.6505761 35.6017124))"
BR35,1036,"POLYGON ((-119.6897793 35.5288735, -119.6719694 35.5289433, -119.6720552 35.5434011, -119.68081 35.5432265, -119.6896935 35.5432615, -119.6897793 35.5288735))"
BR19W,460,"POLYGON ((-119.6485913 35.572597, -119.6543741 35.5724835, -119.6541595 35.5580658, -119.6451902 35.5581357, -119.6453619 35.5652576, -119.6484518 35.5653972, -119.6485913 35.5690626, -119.6485913 35.572597))"
BR31W,560,"POLYGON ((-119.6540308 35.5291179, -119.6452117 35.5291005, -119.6452761 35.5435234, -119.6542239 35.5435757, -119.6542025 35.5363472, -119.6534944 35.5363472, -119.6534514 35.5358757, -119.654181 35.5358582, -119.6540308 35.5291179))"
BR19NE,184,"POLYGON ((-119.6447182 35.5654845, -119.641006 35.5655019, -119.641006 35.5674568, -119.6412849 35.5678321, -119.6419609 35.5684954, -119.6424437 35.5688357, -119.6428621 35.5691062, -119.6432161 35.5698306, -119.6437097 35.5707382, -119.6447504 35.5726319, -119.6485806 35.5725882, -119.6484947 35.5654845, -119.6447182 35.5654845))"
